id,label
0,1
1,1
2,1
3,0
4,0
5,1
6,1
7,0
8,0
9,1
10,1
11,0
12,0
13,1
14,1
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,1
23,1
24,0
25,0
26,1
27,0
28,1
29,1
30,0
31,0
32,1
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,1
48,0
49,1
50,1
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,1
59,1
60,1
61,1
62,0
63,1
64,1
65,1
66,1
67,1
68,0
69,0
70,1
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,1
81,1
82,0
83,0
84,1
85,0
86,0
87,1
88,0
89,1
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,1
100,1
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,0
109,1
110,1
111,1
112,1
113,1
114,0
115,0
116,1
117,0
118,1
119,0
120,1
121,1
122,1
123,1
124,0
125,1
126,0
127,1
128,0
129,1
130,0
131,1
132,0
133,1
134,0
135,1
136,0
137,1
138,0
139,0
140,1
141,1
142,1
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,0
153,0
154,1
155,1
156,0
157,1
158,0
159,1
160,0
161,0
162,1
163,1
164,1
165,1
166,0
167,1
168,1
169,0
170,1
171,1
172,1
173,0
174,1
175,0
176,0
177,1
178,1
179,1
180,0
181,1
182,0
183,1
184,1
185,1
186,0
187,0
188,1
189,0
190,0
191,1
192,1
193,0
194,1
195,1
196,0
197,1
198,0
199,1
200,1
201,0
202,1
203,1
204,0
205,1
206,1
207,1
